"Grand Valley State University","1 Campus Dr Allendale Michigan 49401-9403","49401","@gvsu.edu",42.9614,-85.8887
"Allegheny Wesleyan College","2161 Woodsdale Rd Salem Ohio 44460-9598","44460","@awc.edu",40.868,-80.8592
"Claremont McKenna College","500 E 9th St Claremont California 91711-6400","91711","@cmc.edu",34.1025,-117.7068
"Argosy University-Atlanta","980 Hammond Drive Suite 100 Atlanta Georgia 30328","30328","@argosy.edu",33.9323,-84.3759
"CUNY Brooklyn College","2900 Bedford Ave Brooklyn New York 11210-2889","11210","@brooklyn.cuny.edu",40.6318,-73.9528
"Johnson State College","337 College Hill Johnson Vermont 05656-9464","05656","@jsc.edu",44.6463,-72.6674
"Columbia Southern University","21982 University Lane Orange Beach Alabama 36561","36561","@columbiasouthern.edu",30.2892,-87.5679
"University of Scranton","800 Linden Street Scranton Pennsylvania 18510-4629","18510","@scranton.edu",41.4083,-75.6461
"Lyon College","2300 Highland Road Batesville Arkansas 72501","72501","@lyon.edu",35.7749,-91.6393
"Houghton College","1 Willard Ave Houghton New York 14744","14744","@houghton.edu",42.4209,-78.1742
"Jefferson College of Health Sciences","920 S Jefferson St Roanoke Virginia 24016","24016","@jefferson.edu",37.2729,-79.9513
"Bucknell University","Dent Drive Lewisburg Pennsylvania 17837","17837","@bucknell.edu",40.9678,-76.9093
"MGH Institute of Health Professions","36 1st Avenue Boston Massachusetts 02129-4557","02129","@mghihp.edu",42.3734,-71.0565
"Linfield College-Adult Degree Program","900 SE Baker Street McMinnville Oregon 97128-6894","97128","@linfield.edu",45.2021,-123.202
"Ohio Christian University","1476 Lancaster Pike Circleville Ohio 43113","43113","@ohiochristian.edu",39.5993,-82.9377
"Ohio University-Chillicothe Campus","101 University Drive Chillicothe Ohio 45601-0629","45601","@ohio.edu",39.3323,-82.9782
"Cumberland University","One Cumberland Square Lebanon Tennessee 37087","37087","@cumberland.ac",36.2329,-86.3085
"University of Maine at Augusta","46 University Dr Augusta Maine 04330-9410","04330","@Maine.edu",44.3402,-69.7617
"Trinity University","One Trinity Place San Antonio Texas 78212-7200","78212","@trinity.edu",29.4631,-98.4811
"College of Mount St. Joseph","5701 Delhi Rd Cincinnati Ohio 45233-1670","45233","@mail.msj.edu",39.0962,-84.6381
"Holy Apostles College and Seminary","33 Prospect Hill Rd Cromwell Connecticut 06416-2005","06416","@holyapostles.edu",41.6062,-72.647
"Baker College of Owosso","1020 S Washington St Owosso Michigan 48867","48867","@baker.edu",42.998,-84.1789
"City University of Seattle","11900 NE First Street Bellevue Washington 98005","98005","@cityu.edu",47.6132,-122.1686
"Albertus Magnus College","700 Prospect St New Haven Connecticut 06511-1189","06511","@albertus.edu",41.3325,-72.9248
"Dillard University","2601 Gentilly Blvd New Orleans Louisiana 70122","70122","@dillard.edu",30.0084,-90.0638
"Bowdoin College","5700 College Station - President's Office Brunswick Maine 04011-8448","04011","@bowdoin.edu",43.9069,-69.9637
"Union Institute & University","157 Old Guilford Road Brattleboro Vermont 05301-3669","05301","@myunion.edu",39.126362,-84.500351
"Montclair State University","1 Normal Avenue - 855 Valley Road Montclair New Jersey 07043-1624","07043","@mail.montclair.edu",40.8562,-74.195
"Clear Creek Baptist Bible College","300 Clear Creek Rd Pineville Kentucky 40977-9752","40977","@ccbbc.edu",36.713,-83.7349
"Winebrenner Theological Seminary","950 North Main Street Findlay Ohio 45840","45840","@winebrenner.edu",41.0429,-83.6402
"Anderson University","316 Boulevard Anderson South Carolina 29621","29621","@anderson.edu",34.5322,-82.6295
"Johnson & Wales University-Denver","7150 Montview Blvd Denver Colorado 80220","80220","@jwu.edu",36.132801,-94.165298
"Winona State University","8th and Johnson St Winona Minnesota 55987-5838","55987","@winona.edu",43.991,-91.4812
"West Suburban College of Nursing","3 Erie Ct Oak Park Illinois 60302-2519","60302","@wscn.edu",41.892,-87.7757
"Mary Baldwin College","New & Frederick St Staunton Virginia 24401","24401","@mbc.edu",38.427799,-84.8106
"Ohio University-Lancaster Campus","1570 Granville Pike Lancaster Ohio 43130-1037","43130","@ohio.edu",39.7376,-82.5885
"Kennesaw State University","1000 Chastain Rd Kennesaw Georgia 30144-5591","30144","@kennesaw.edu",34.0322,-84.5811
"Thomas College","180 W River Rd Waterville Maine 04901-5097","04901","@thomas.edu",44.5265,-69.6659
"Westmont College","955 La Paz Rd Santa Barbara California 93108-1089","93108","@westmont.edu",34.4502,-119.6597
"Manchester College","604 College Ave North Manchester Indiana 46962","46962","@manchester.edu",40.9957,-85.7741
"Texas Southern University","3100 Cleburne St Houston Texas 77004","77004","@tsu.edu",29.7281,-95.3652
"Regis University","3333 Regis Blvd Denver Colorado 80221-1099","80221","@regis.edu",39.7876,-105.0302
